Folder,Name,Preconditions,Step,Test Data,Expected Result,Priority,Type,Automatable
Checkout Complete,EP - Confirmation header is displayed after successful checkout,User is logged in as standard_user and has 1 item in cart,Navigate to cart page,,Cart page is displayed,High,Functional,Yes
Checkout Complete,EP - Confirmation header is displayed after successful checkout,,Click Checkout button,,Checkout Step 1 page is displayed (URL contains /checkout-step-one.html),High,Functional,Yes
Checkout Complete,EP - Confirmation header is displayed after successful checkout,,Fill customer information fields,"First Name: John | Last Name: Doe | Zip: 12345",All fields are filled correctly,High,Functional,Yes
Checkout Complete,EP - Confirmation header is displayed after successful checkout,,Click Continue button,,Checkout Step 2 (overview) page is displayed (URL contains /checkout-step-two.html),High,Functional,Yes
Checkout Complete,EP - Confirmation header is displayed after successful checkout,,Click Finish button,,"URL contains /checkout-complete.html; Element [data-test=""complete-header""] is visible and contains ""Thank you for your order!""",High,Functional,Yes
Checkout Complete,EP - Confirmation body text is displayed after successful checkout,User is logged in as standard_user and has 1 item in cart,Complete full checkout flow (navigate cart → fill info → continue → finish),,"URL contains /checkout-complete.html",High,Functional,Yes
Checkout Complete,EP - Confirmation body text is displayed after successful checkout,,Verify confirmation text element,,Element [data-test=""complete-text""] is visible and contains ""Your order has been dispatched"",High,Functional,Yes
Checkout Complete,EP - Confirmation image is displayed after successful checkout,User is logged in as standard_user and has 1 item in cart,Complete full checkout flow,,"URL contains /checkout-complete.html",High,Functional,Yes
Checkout Complete,EP - Confirmation image is displayed after successful checkout,,Verify pony express image,,Element [data-test=""pony-express""] is visible,High,Functional,Yes
Checkout Complete,EP - Page title is Checkout Complete after successful checkout,User is logged in as standard_user and has 1 item in cart,Complete full checkout flow,,"URL contains /checkout-complete.html",High,Functional,Yes
Checkout Complete,EP - Page title is Checkout Complete after successful checkout,,Verify page title text,,Element [data-test=""title""] text equals ""Checkout: Complete!"",High,Functional,Yes
Checkout Complete,BVA - Checkout with minimum 1 item shows confirmation page,User is logged in as standard_user,Add 1 item to cart (minimum boundary),Item count: 1,Cart badge shows 1,High,Functional,Yes
Checkout Complete,BVA - Checkout with minimum 1 item shows confirmation page,,Complete checkout flow (cart → info → continue → finish),"First Name: John | Last Name: Doe | Zip: 12345","URL contains /checkout-complete.html; confirmation header ""Thank you for your order!"" is visible",High,Functional,Yes
Checkout Complete,BVA - Checkout with maximum 6 items shows confirmation page,User is logged in as standard_user,Add 6 items to cart (maximum available — all products on inventory page),Item count: 6,Cart badge shows 6,High,Functional,Yes
Checkout Complete,BVA - Checkout with maximum 6 items shows confirmation page,,Complete checkout flow (cart → info → continue → finish),"First Name: John | Last Name: Doe | Zip: 12345","URL contains /checkout-complete.html; confirmation header ""Thank you for your order!"" is visible",High,Functional,Yes
Checkout Complete,BVA - Exact confirmation header text matches expected value,User is logged in as standard_user and has completed checkout,Verify [data-test=""complete-header""] text content,,Text equals exactly ""Thank you for your order!"" — no extra whitespace or characters,Medium,Functional,Yes
Checkout Complete,BVA - Exact confirmation body text matches expected value,User is logged in as standard_user and has completed checkout,Verify [data-test=""complete-text""] text content,,Text equals exactly ""Your order has been dispatched, and will arrive just as fast as the pony can get there!"",Medium,Functional,Yes
Checkout Complete,ST - Clicking Finish on order overview transitions to checkout complete,User is logged in as standard_user and is on Checkout Step 2 (order overview),Click Finish button ([data-test=""finish""]),,State transitions: Checkout Step 2 → Checkout Complete; URL changes to /checkout-complete.html,High,Functional,Yes
Checkout Complete,ST - Clicking Finish on order overview transitions to checkout complete,,Verify checkout complete page elements are visible,,"Confirmation header, text, image, and Back Home button are all visible",High,Functional,Yes
Checkout Complete,ST - Back Home button transitions from checkout complete to inventory,User is logged in as standard_user and is on Checkout Complete page,Click Back Home button ([data-test=""back-to-products""]),,State transitions: Checkout Complete → Inventory; URL changes to /inventory.html,High,Functional,Yes
Checkout Complete,ST - Back Home button transitions from checkout complete to inventory,,Verify inventory page is displayed,,Inventory page title ""Products"" is visible; product list is displayed,High,Functional,Yes
Checkout Complete,ST - Browser back from checkout complete returns to checkout step 2,User is logged in as standard_user and is on Checkout Complete page,Click browser back button,,State transitions: Checkout Complete → Checkout Step 2; URL changes to /checkout-step-two.html,Medium,Functional,Yes
Checkout Complete,DT - Logged-in user accessing checkout complete URL directly without completing checkout,User is logged in as standard_user (no checkout completed),Navigate directly to /checkout-complete.html via URL,,SauceDemo loads the checkout complete page (no server-side flow guard); URL is /checkout-complete.html,Medium,Functional,Yes
Checkout Complete,DT - Logged-in user accessing checkout complete URL directly without completing checkout,,Verify page content is accessible,,"Checkout complete container [data-test=""checkout-complete-container""] is present in DOM",Medium,Functional,Yes
Checkout Complete,EG - Cart badge is hidden after checkout is complete,User is logged in as standard_user and has completed checkout,Verify shopping cart badge,,Element [data-test=""shopping-cart-badge""] is NOT visible; cart is cleared after checkout,High,Functional,Yes
Checkout Complete,EG - Checkout complete page persists after page refresh,User is logged in as standard_user and is on Checkout Complete page,Reload the page (F5 / browser refresh),,Page remains on /checkout-complete.html; session state preserved; confirmation elements still visible,Medium,Functional,Yes
Checkout Complete,EG - Cart is empty after navigating Back Home from checkout complete,User is logged in as standard_user and has completed checkout,Click Back Home button,,Navigated to /inventory.html,Medium,Functional,Yes
Checkout Complete,EG - Cart is empty after navigating Back Home from checkout complete,,Navigate to cart page (/cart.html),,Cart is empty; no cart items visible; cart badge is not shown,Medium,Functional,Yes
Checkout Complete,EG - Unauthenticated user accessing checkout complete URL is redirected to login,User is NOT logged in (fresh session),Navigate directly to /checkout-complete.html via URL,,Redirected to SauceDemo login page (URL contains saucedemo.com root); checkout complete page NOT shown,High,Security,Yes
