Folder,Name,Preconditions,Step,Test Data,Expected Result,Priority,Type,Automatable
Product Detail,EP - Product detail page loads product information,Logged in as standard_user,1. Navigate to /inventory-item.html?id=4,,Page URL contains inventory-item.html,High,Functional,Yes
Product Detail,EP - Product detail page loads product information,Logged in as standard_user,2. Verify product name is visible and non-empty,,Product name heading text is non-empty,High,Functional,Yes
Product Detail,EP - Product detail page loads product information,Logged in as standard_user,3. Verify product description is visible and non-empty,,Product description text is non-empty,High,Functional,Yes
Product Detail,EP - Product detail page loads product information,Logged in as standard_user,4. Verify product price is visible and non-empty,,Product price text is non-empty (format $X.XX),High,Functional,Yes
Product Detail,EP - Product detail page loads product information,Logged in as standard_user,5. Verify product image is rendered,,Product image element is visible,High,Functional,Yes
Product Detail,EP - Add to Cart button visible when item not in cart,Logged in as standard_user; no items in cart,1. Navigate to /inventory-item.html?id=4,,Product detail page loaded,High,Functional,Yes
Product Detail,EP - Add to Cart button visible when item not in cart,Logged in as standard_user; no items in cart,2. Verify Add to Cart button is visible,,Add to Cart button visible on page,High,Functional,Yes
Product Detail,EP - Add to Cart button visible when item not in cart,Logged in as standard_user; no items in cart,3. Verify Remove button is not visible,,Remove button not visible,High,Functional,Yes
Product Detail,EP - Navigate via inventory item name link,Logged in as standard_user; on inventory page,1. Click the first product name link on inventory,,Navigated to product detail page (URL contains inventory-item.html),High,Functional,Yes
Product Detail,EP - Navigate via inventory item image link,Logged in as standard_user; on inventory page,1. Click the first product image on inventory,,Navigated to product detail page (URL contains inventory-item.html),Medium,Functional,Yes
Product Detail,BVA - Min product ID (id=0),Logged in as standard_user,1. Navigate to /inventory-item.html?id=0,,Product detail page loads; product name non-empty,High,Functional,Yes
Product Detail,BVA - Min product ID (id=0),Logged in as standard_user,2. Verify product image visible,,Product image is rendered,High,Functional,Yes
Product Detail,BVA - Max product ID (id=5),Logged in as standard_user,1. Navigate to /inventory-item.html?id=5,,Product detail page loads; product name non-empty,High,Functional,Yes
Product Detail,BVA - Max product ID (id=5),Logged in as standard_user,2. Verify product image visible,,Product image is rendered,High,Functional,Yes
Product Detail,ST - Add to Cart changes button state to Remove,Logged in as standard_user; item not in cart,1. Navigate to /inventory-item.html?id=4,,Add to Cart visible; Remove not visible,High,Functional,Yes
Product Detail,ST - Add to Cart changes button state to Remove,Logged in as standard_user; item not in cart,2. Click Add to Cart,,Remove button visible; Add to Cart not visible,High,Functional,Yes
Product Detail,ST - Remove changes button state back to Add to Cart,Logged in as standard_user,1. Navigate to /inventory-item.html?id=4,,Product detail page loaded,High,Functional,Yes
Product Detail,ST - Remove changes button state back to Add to Cart,Logged in as standard_user,2. Click Add to Cart,,Remove button visible,High,Functional,Yes
Product Detail,ST - Remove changes button state back to Add to Cart,Logged in as standard_user,3. Click Remove,,Add to Cart visible; Remove not visible,High,Functional,Yes
Product Detail,ST - Add to Cart increments cart badge,Logged in as standard_user; cart empty,1. Navigate to /inventory-item.html?id=4,,Cart badge not visible,High,Functional,Yes
Product Detail,ST - Add to Cart increments cart badge,Logged in as standard_user; cart empty,2. Click Add to Cart,,Cart badge shows "1",High,Functional,Yes
Product Detail,ST - Remove hides cart badge,Logged in as standard_user,1. Navigate to /inventory-item.html?id=4,,Product detail page loaded,High,Functional,Yes
Product Detail,ST - Remove hides cart badge,Logged in as standard_user,2. Click Add to Cart,,Cart badge shows "1",High,Functional,Yes
Product Detail,ST - Remove hides cart badge,Logged in as standard_user,3. Click Remove,,Cart badge not visible,High,Functional,Yes
Product Detail,ST - Back to Products navigates to inventory,Logged in as standard_user,1. Navigate to /inventory-item.html?id=4,,Product detail page loaded,High,Functional,Yes
Product Detail,ST - Back to Products navigates to inventory,Logged in as standard_user,2. Click Back to Products,,Inventory page displayed (URL contains inventory.html),High,Functional,Yes
Product Detail,DT - Remove visible when item IS in cart,Logged in as standard_user; item 4 already in cart,1. Navigate to /inventory-item.html?id=4,,Remove button visible; Add to Cart not visible,High,Functional,Yes
Product Detail,DT - Add to Cart visible when item NOT in cart,Logged in as standard_user; cart empty,1. Navigate to /inventory-item.html?id=4,,Add to Cart visible; Remove not visible,High,Functional,Yes
Product Detail,DT - Added item from detail page appears in cart,Logged in as standard_user,1. Navigate to /inventory-item.html?id=4,,Product detail page loaded,Medium,Functional,Yes
Product Detail,DT - Added item from detail page appears in cart,Logged in as standard_user,2. Click Add to Cart,,Cart badge shows "1",Medium,Functional,Yes
Product Detail,DT - Added item from detail page appears in cart,Logged in as standard_user,3. Navigate to /cart.html,,Cart contains 1 item,Medium,Functional,Yes
Product Detail,EG - Cart badge preserved after Back to Products,Logged in as standard_user,1. Navigate to /inventory-item.html?id=4,,Product detail page loaded,Medium,Functional,Yes
Product Detail,EG - Cart badge preserved after Back to Products,Logged in as standard_user,2. Click Add to Cart,,Cart badge shows "1",Medium,Functional,Yes
Product Detail,EG - Cart badge preserved after Back to Products,Logged in as standard_user,3. Click Back to Products,,Inventory page; cart badge still shows "1",Medium,Functional,Yes
Product Detail,EG - Unauthenticated access redirected to login,Not logged in,1. Navigate directly to /inventory-item.html?id=4,,Redirected to login page (URL is saucedemo.com root),High,Security,Yes
